Date,Vegetable_Name,Season,Daily_Arrival_MT,Estimated_Sales_MT,Wholesale_Price_Rs_kg,Supply_Status
2010-02-25,Carrot,Maha,135.53,101.65,88.54,Stable
2010-02-26,Carrot,Maha,137.95,103.46,86.99,Stable
2010-02-27,Carrot,Maha,143.75,107.81,83.48,High
2010-02-28,Carrot,Maha,129.95,97.46,92.34,Stable
2010-03-01,Carrot,Maha,144.79,108.59,82.88,High
2010-03-02,Carrot,Maha,124.96,93.72,96.03,Stable
2010-03-03,Carrot,Maha,128.89,96.67,93.1,Stable
2010-03-04,Carrot,Maha,131.75,98.81,91.08,Stable
2010-03-05,Carrot,Maha,137.65,103.24,87.18,Stable
2010-03-06,Carrot,Maha,126.34,94.76,94.98,Stable
2010-03-07,Carrot,Maha,125.84,94.38,95.36,Stable
2010-03-08,Carrot,Maha,143.22,107.42,83.79,High
2010-03-09,Carrot,Maha,141.03,105.77,85.09,High
2010-03-10,Carrot,Maha,129.7,97.28,92.52,Stable
2010-03-11,Carrot,Maha,130.28,97.71,92.11,Stable
2010-03-12,Carrot,Maha,147.93,110.95,81.12,High
2010-03-13,Carrot,Maha,121.93,91.45,98.42,Stable
2010-03-14,Carrot,Maha,131.55,98.66,91.22,Stable
2010-03-15,Carrot,Maha,147.37,110.53,81.43,High
2010-03-16,Carrot,Maha,145.81,109.36,82.3,High
2010-03-17,Carrot,Maha,131.1,98.32,91.53,Stable
2010-03-18,Carrot,Maha,130.42,97.82,92.01,Stable
2010-03-19,Carrot,Maha,147.49,110.62,81.36,High
2010-03-20,Carrot,Maha,129.94,97.46,92.35,Stable
2010-03-21,Carrot,Maha,132.89,99.67,90.3,Stable
2010-03-22,Carrot,Maha,130.36,97.77,92.05,Stable
2010-03-23,Carrot,Maha,135.84,101.88,88.34,Stable
2010-03-24,Carrot,Maha,142.48,106.86,84.22,High
2010-03-25,Carrot,Maha,143.73,107.8,83.49,High
2010-03-26,Carrot,Maha,127.05,95.29,94.45,Stable
2010-03-27,Carrot,Maha,132.91,99.68,90.29,Stable
2010-03-28,Carrot,Maha,147.2,110.4,81.52,High
2010-03-29,Carrot,Maha,136.69,102.52,87.79,Stable
2010-03-30,Carrot,Maha,127.25,95.44,94.3,Stable
2010-03-31,Carrot,Maha,121.85,91.39,98.48,Stable
2010-04-01,Carrot,Off-season,27.55,20.66,145.17,Low
2010-04-02,Carrot,Off-season,28.35,21.26,141.09,Low
2010-04-03,Carrot,Off-season,30.74,23.06,130.12,Low
2010-04-04,Carrot,Off-season,27.83,20.87,143.73,Low
2010-04-05,Carrot,Off-season,31.18,23.38,128.29,Low
2010-04-06,Carrot,Off-season,28.38,21.28,140.92,Low
2010-04-07,Carrot,Off-season,28.17,21.13,141.98,Low
2010-04-08,Carrot,Off-season,29.12,21.84,137.37,Low
2010-04-09,Carrot,Off-season,30.95,23.21,129.22,Low
2010-04-10,Carrot,Off-season,30.46,22.84,131.32,Low
2010-04-11,Carrot,Off-season,29.55,22.16,135.37,Low
2010-04-12,Carrot,Off-season,30.83,23.12,129.75,Low
2010-04-13,Carrot,Off-season,32.1,24.08,124.63,Low
2010-04-14,Carrot,Off-season,28.44,21.33,140.67,Low
2010-04-15,Carrot,Off-season,28.31,21.23,141.3,Low
2010-04-16,Carrot,Off-season,30.46,22.84,131.33,Low
2010-04-17,Carrot,Off-season,31.54,23.66,126.81,Low
2010-04-18,Carrot,Off-season,29.54,22.16,135.4,Low
2010-04-19,Carrot,Off-season,27.87,20.9,143.53,Low
2010-04-20,Carrot,Off-season,32.6,24.45,122.71,Low
2010-04-21,Carrot,Off-season,32.81,24.61,121.93,Low
2010-04-22,Carrot,Off-season,31.51,23.63,126.93,Low
2010-04-23,Carrot,Off-season,29.07,21.8,137.59,Low
2010-04-24,Carrot,Off-season,31.01,23.26,128.99,Low
2010-04-25,Carrot,Off-season,28.27,21.2,141.48,Low
2010-04-26,Carrot,Off-season,30.04,22.53,133.14,Low
2010-04-27,Carrot,Off-season,27.22,20.42,146.97,Low
2010-04-28,Carrot,Off-season,31.72,23.79,126.1,Low
2010-04-29,Carrot,Off-season,32.12,24.09,124.53,Low
2010-04-30,Carrot,Off-season,29.3,21.98,136.51,Low
2010-05-01,Carrot,Yala,96.71,72.53,82.72,Stable
2010-05-02,Carrot,Yala,82.54,61.9,96.92,Stable
2010-05-03,Carrot,Yala,84.71,63.53,94.44,Stable
2010-05-04,Carrot,Yala,89.12,66.84,89.77,Stable
2010-05-05,Carrot,Yala,97.37,73.03,82.16,Stable
2010-05-06,Carrot,Yala,87.46,65.6,91.47,Stable
2010-05-07,Carrot,Yala,97.57,73.18,81.99,Stable
2010-05-08,Carrot,Yala,84.22,63.16,94.99,Stable
2010-05-09,Carrot,Yala,91.84,68.88,87.11,Stable
2010-05-10,Carrot,Yala,89.95,67.46,88.94,Stable
2010-05-11,Carrot,Yala,81.33,61.0,98.37,Stable
2010-05-12,Carrot,Yala,89.78,67.34,89.11,Stable
2010-05-13,Carrot,Yala,90.54,67.9,88.36,Stable
2010-05-14,Carrot,Yala,83.0,62.25,96.39,Stable
2010-05-15,Carrot,Yala,81.65,61.24,97.98,Stable
2010-05-16,Carrot,Yala,93.81,70.36,85.28,Stable
2010-05-17,Carrot,Yala,82.62,61.96,96.83,Stable
2010-05-18,Carrot,Yala,82.06,61.54,97.49,Stable
2010-05-19,Carrot,Yala,86.3,64.72,92.7,Stable
2010-05-20,Carrot,Yala,94.76,71.07,84.42,Stable
2010-05-21,Carrot,Yala,85.12,63.84,93.99,Stable
2010-05-22,Carrot,Yala,87.55,65.66,91.38,Stable
2010-05-23,Carrot,Yala,92.58,69.44,86.41,Stable
2010-05-24,Carrot,Yala,95.03,71.27,84.18,Stable
2010-05-25,Carrot,Yala,95.28,71.46,83.96,Stable
2010-05-26,Carrot,Yala,83.11,62.33,96.26,Stable
2010-05-27,Carrot,Yala,95.09,71.32,84.13,Stable
2010-05-28,Carrot,Yala,93.51,70.13,85.55,Stable
2010-05-29,Carrot,Yala,82.99,62.24,96.4,Stable
2010-05-30,Carrot,Yala,98.29,73.72,81.39,Stable
2010-05-31,Carrot,Yala,92.45,69.34,86.53,Stable
2010-06-01,Carrot,Yala,89.81,67.36,89.08,Stable
2010-06-02,Carrot,Yala,92.22,69.16,86.75,Stable
2010-06-03,Carrot,Yala,88.15,66.11,90.75,Stable
2010-06-04,Carrot,Yala,88.39,66.29,90.51,Stable
2010-06-05,Carrot,Yala,84.41,63.31,94.78,Stable
2010-06-06,Carrot,Yala,83.8,62.85,95.46,Stable
2010-06-07,Carrot,Yala,83.88,62.91,95.38,Stable
2010-06-08,Carrot,Yala,85.4,64.05,93.68,Stable
2010-06-09,Carrot,Yala,85.89,64.42,93.14,Stable
2010-06-10,Carrot,Yala,92.41,69.31,86.57,Stable
2010-06-11,Carrot,Yala,93.44,70.08,85.62,Stable
2010-06-12,Carrot,Yala,81.17,60.88,98.56,Stable
2010-06-13,Carrot,Yala,83.57,62.68,95.73,Stable
2010-06-14,Carrot,Yala,82.65,61.99,96.79,Stable
2010-06-15,Carrot,Yala,91.91,68.93,87.04,Stable
2010-06-16,Carrot,Yala,96.4,72.3,82.99,Stable
2010-06-17,Carrot,Yala,83.13,62.35,96.23,Stable
2010-06-18,Carrot,Yala,87.53,65.65,91.4,Stable
2010-06-19,Carrot,Yala,98.68,74.01,81.07,Stable
2010-06-20,Carrot,Yala,92.27,69.2,86.7,Stable
2010-06-21,Carrot,Yala,87.06,65.3,91.89,Stable
2010-06-22,Carrot,Yala,93.45,70.09,85.61,Stable
2010-06-23,Carrot,Yala,83.66,62.74,95.62,Stable
2010-06-24,Carrot,Yala,93.45,70.09,85.61,Stable
2010-06-25,Carrot,Yala,88.85,66.64,90.04,Stable
2010-06-26,Carrot,Yala,83.36,62.52,95.97,Stable
2010-06-27,Carrot,Yala,87.83,65.87,91.09,Stable
2010-06-28,Carrot,Yala,94.47,70.85,84.68,Stable
2010-06-29,Carrot,Yala,89.07,66.8,89.82,Stable
2010-06-30,Carrot,Yala,82.94,62.2,96.45,Stable
2010-07-01,Carrot,Yala,92.68,69.51,86.32,Stable
2010-07-02,Carrot,Yala,83.39,62.54,95.93,Stable
2010-07-03,Carrot,Yala,94.31,70.73,84.83,Stable
2010-07-04,Carrot,Yala,95.11,71.33,84.11,Stable
2010-07-05,Carrot,Yala,92.75,69.56,86.25,Stable
2010-07-06,Carrot,Yala,87.67,65.75,91.25,Stable
2010-07-07,Carrot,Yala,88.41,66.31,90.49,Stable
2010-07-08,Carrot,Yala,93.91,70.43,85.19,Stable
2010-07-09,Carrot,Yala,96.06,72.04,83.28,Stable
2010-07-10,Carrot,Yala,97.26,72.95,82.25,Stable
2010-07-11,Carrot,Yala,88.3,66.22,90.6,Stable
2010-07-12,Carrot,Yala,96.17,72.13,83.19,Stable
2010-07-13,Carrot,Yala,98.23,73.67,81.44,Stable
2010-07-14,Carrot,Yala,98.45,73.84,81.26,Stable
2010-07-15,Carrot,Yala,86.31,64.73,92.69,Stable
2010-07-16,Carrot,Yala,94.05,70.54,85.06,Stable
2010-07-17,Carrot,Yala,90.73,68.05,88.17,Stable
2010-07-18,Carrot,Yala,95.2,71.4,84.03,Stable
2010-07-19,Carrot,Yala,90.5,67.88,88.4,Stable
2010-07-20,Carrot,Yala,83.45,62.59,95.87,Stable
2010-07-21,Carrot,Yala,92.97,69.73,86.05,Stable
2010-07-22,Carrot,Yala,95.0,71.25,84.21,Stable
2010-07-23,Carrot,Yala,86.17,64.63,92.84,Stable
2010-07-24,Carrot,Yala,83.96,62.97,95.28,Stable
2010-07-25,Carrot,Yala,98.1,73.57,81.55,Stable
2010-07-26,Carrot,Yala,95.85,71.89,83.46,Stable
2010-07-27,Carrot,Yala,93.2,69.9,85.84,Stable
2010-07-28,Carrot,Yala,89.82,67.36,89.07,Stable
2010-07-29,Carrot,Yala,96.69,72.52,82.74,Stable
2010-07-30,Carrot,Yala,86.17,64.63,92.84,Stable
2010-07-31,Carrot,Yala,96.88,72.66,82.58,Stable
2010-08-01,Carrot,Yala,81.02,60.76,98.74,Stable
2010-08-02,Carrot,Yala,82.82,62.11,96.6,Stable
2010-08-03,Carrot,Yala,90.1,67.57,88.79,Stable
2010-08-04,Carrot,Yala,95.69,71.77,83.6,Stable
2010-08-05,Carrot,Yala,97.53,73.15,82.03,Stable
2010-08-06,Carrot,Yala,87.16,65.37,91.79,Stable
2010-08-07,Carrot,Yala,82.29,61.72,97.22,Stable
2010-08-08,Carrot,Yala,85.93,64.45,93.1,Stable
2010-08-09,Carrot,Yala,89.06,66.8,89.83,Stable
2010-08-10,Carrot,Yala,83.24,62.43,96.11,Stable
2010-08-11,Carrot,Yala,94.23,70.67,84.9,Stable
2010-08-12,Carrot,Yala,90.49,67.87,88.41,Stable
2010-08-13,Carrot,Yala,91.76,68.82,87.18,Stable
2010-08-14,Carrot,Yala,96.7,72.53,82.73,Stable
2010-08-15,Carrot,Yala,94.5,70.88,84.66,Stable
2010-08-16,Carrot,Yala,93.78,70.34,85.31,Stable
2010-08-17,Carrot,Yala,90.17,67.63,88.72,Stable
2010-08-18,Carrot,Yala,88.6,66.45,90.29,Stable
2010-08-19,Carrot,Yala,92.04,69.03,86.92,Stable
2010-08-20,Carrot,Yala,88.68,66.51,90.21,Stable
2010-08-21,Carrot,Yala,90.32,67.74,88.57,Stable
2010-08-22,Carrot,Yala,84.87,63.65,94.26,Stable
2010-08-23,Carrot,Yala,88.79,66.59,90.1,Stable
2010-08-24,Carrot,Yala,84.73,63.55,94.42,Stable
2010-08-25,Carrot,Yala,93.51,70.13,85.55,Stable
2010-08-26,Carrot,Yala,87.32,65.49,91.62,Stable
2010-08-27,Carrot,Yala,82.67,62.0,96.77,Stable
2010-08-28,Carrot,Yala,90.25,67.69,88.64,Stable
2010-08-29,Carrot,Yala,84.46,63.34,94.72,Stable
2010-08-30,Carrot,Yala,87.93,65.95,90.98,Stable
2010-08-31,Carrot,Yala,93.98,70.48,85.12,Stable
2010-09-01,Carrot,Off-season,32.88,24.66,121.67,Low
2010-09-02,Carrot,Off-season,28.5,21.38,140.36,Low
2010-09-03,Carrot,Off-season,32.08,24.06,124.69,Low
2010-09-04,Carrot,Off-season,29.66,22.24,134.88,Low
2010-09-05,Carrot,Off-season,31.51,23.63,126.94,Low
2010-09-06,Carrot,Off-season,28.57,21.43,140.02,Low
2010-09-07,Carrot,Off-season,32.91,24.68,121.55,Low
2010-09-08,Carrot,Off-season,27.21,20.41,146.99,Low
2010-09-09,Carrot,Off-season,28.31,21.23,141.28,Low
2010-09-10,Carrot,Off-season,27.98,20.98,142.97,Low
2010-09-11,Carrot,Off-season,33.01,24.76,121.19,Low
2010-09-12,Carrot,Off-season,27.66,20.74,144.61,Low
2010-09-13,Carrot,Off-season,29.3,21.98,136.53,Low
2010-09-14,Carrot,Off-season,30.83,23.12,129.74,Low
2010-09-15,Carrot,Off-season,27.61,20.71,144.9,Low
2010-09-16,Carrot,Off-season,32.47,24.35,123.18,Low
2010-09-17,Carrot,Off-season,30.92,23.19,129.35,Low
2010-09-18,Carrot,Off-season,32.97,24.73,121.32,Low
2010-09-19,Carrot,Off-season,29.85,22.39,133.99,Low
2010-09-20,Carrot,Off-season,29.89,22.42,133.84,Low
2010-09-21,Carrot,Off-season,29.17,21.88,137.11,Low
2010-09-22,Carrot,Off-season,29.27,21.95,136.65,Low
2010-09-23,Carrot,Off-season,27.96,20.97,143.05,Low
2010-09-24,Carrot,Off-season,27.54,20.66,145.26,Low
2010-09-25,Carrot,Off-season,30.55,22.91,130.95,Low
2010-09-26,Carrot,Off-season,27.31,20.48,146.46,Low
2010-09-27,Carrot,Off-season,31.19,23.39,128.24,Low
2010-09-28,Carrot,Off-season,31.15,23.36,128.4,Low
2010-09-29,Carrot,Off-season,32.62,24.46,122.62,Low
2010-09-30,Carrot,Off-season,27.59,20.69,145.0,Low
2010-10-01,Carrot,Maha,133.19,99.89,90.1,Stable
2010-10-02,Carrot,Maha,128.01,96.01,93.74,Stable
2010-10-03,Carrot,Maha,123.6,92.7,97.09,Stable
2010-10-04,Carrot,Maha,143.85,107.89,83.42,High
2010-10-05,Carrot,Maha,128.77,96.58,93.19,Stable
2010-10-06,Carrot,Maha,125.69,94.27,95.47,Stable
2010-10-07,Carrot,Maha,130.58,97.94,91.9,Stable
2010-10-08,Carrot,Maha,122.44,91.83,98.01,Stable
2010-10-09,Carrot,Maha,121.63,91.22,98.66,Stable
2010-10-10,Carrot,Maha,130.48,97.86,91.97,Stable
2010-10-11,Carrot,Maha,132.89,99.67,90.3,Stable
2010-10-12,Carrot,Maha,144.09,108.07,83.28,High
2010-10-13,Carrot,Maha,138.46,103.84,86.67,Stable
2010-10-14,Carrot,Maha,145.74,109.3,82.34,High
2010-10-15,Carrot,Maha,136.3,102.22,88.04,Stable
2010-10-16,Carrot,Maha,141.33,106.0,84.91,High
2010-10-17,Carrot,Maha,136.32,102.24,88.03,Stable
2010-10-18,Carrot,Maha,132.64,99.48,90.47,Stable
2010-10-19,Carrot,Maha,124.86,93.64,96.11,Stable
2010-10-20,Carrot,Maha,129.13,96.85,92.93,Stable
2010-10-21,Carrot,Maha,130.8,98.1,91.74,Stable
2010-10-22,Carrot,Maha,142.5,106.88,84.21,High
2010-10-23,Carrot,Maha,138.04,103.53,86.93,Stable
2010-10-24,Carrot,Maha,142.21,106.66,84.38,High
2010-10-25,Carrot,Maha,132.79,99.59,90.37,Stable
2010-10-26,Carrot,Maha,128.38,96.28,93.47,Stable
2010-10-27,Carrot,Maha,139.68,104.76,85.91,Stable
2010-10-28,Carrot,Maha,128.92,96.69,93.08,Stable
2010-10-29,Carrot,Maha,128.27,96.2,93.55,Stable
2010-10-30,Carrot,Maha,134.12,100.59,89.47,Stable
2010-10-31,Carrot,Maha,127.55,95.66,94.08,Stable
2010-11-01,Carrot,Maha,138.68,104.01,86.53,Stable
2010-11-02,Carrot,Maha,131.85,98.89,91.01,Stable
2010-11-03,Carrot,Maha,144.02,108.02,83.32,High
2010-11-04,Carrot,Maha,147.82,110.86,81.18,High
2010-11-05,Carrot,Maha,133.73,100.3,89.73,Stable
2010-11-06,Carrot,Maha,144.4,108.3,83.1,High
2010-11-07,Carrot,Maha,142.31,106.73,84.32,High
2010-11-08,Carrot,Maha,128.85,96.64,93.13,Stable
2010-11-09,Carrot,Maha,124.06,93.04,96.73,Stable
2010-11-10,Carrot,Maha,135.36,101.52,88.65,Stable
2010-11-11,Carrot,Maha,147.04,110.28,81.61,High
2010-11-12,Carrot,Maha,137.68,103.26,87.16,Stable
2010-11-13,Carrot,Maha,124.73,93.55,96.21,Stable
2010-11-14,Carrot,Maha,141.13,105.85,85.03,High
2010-11-15,Carrot,Maha,130.29,97.72,92.1,Stable
2010-11-16,Carrot,Maha,126.04,94.53,95.21,Stable
2010-11-17,Carrot,Maha,126.88,95.16,94.58,Stable
2010-11-18,Carrot,Maha,141.26,105.94,84.95,High
2010-11-19,Carrot,Maha,135.53,101.65,88.54,Stable
2010-11-20,Carrot,Maha,124.16,93.12,96.65,Stable
2010-11-21,Carrot,Maha,138.66,104.0,86.54,Stable
2010-11-22,Carrot,Maha,140.6,105.45,85.35,High
2010-11-23,Carrot,Maha,128.08,96.06,93.69,Stable
2010-11-24,Carrot,Maha,131.02,98.27,91.59,Stable
2010-11-25,Carrot,Maha,127.47,95.6,94.14,Stable
2010-11-26,Carrot,Maha,143.47,107.6,83.64,High
2010-11-27,Carrot,Maha,134.91,101.18,88.95,Stable
2010-11-28,Carrot,Maha,123.98,92.98,96.79,Stable
2010-11-29,Carrot,Maha,129.03,96.77,93.0,Stable
2010-11-30,Carrot,Maha,128.04,96.03,93.72,Stable
2010-12-01,Carrot,Maha,132.03,99.02,90.89,Stable
2010-12-02,Carrot,Maha,140.24,105.18,85.57,Stable
2010-12-03,Carrot,Maha,126.8,95.1,94.64,Stable
2010-12-04,Carrot,Maha,136.83,102.62,87.7,Stable
2010-12-05,Carrot,Maha,131.8,98.85,91.05,Stable
2010-12-06,Carrot,Maha,134.35,100.76,89.32,Stable
2010-12-07,Carrot,Maha,139.05,104.29,86.3,Stable
2010-12-08,Carrot,Maha,122.21,91.66,98.19,Stable
2010-12-09,Carrot,Maha,121.9,91.43,98.44,Stable
2010-12-10,Carrot,Maha,123.7,92.78,97.01,Stable
2010-12-11,Carrot,Maha,136.43,102.32,87.96,Stable
2010-12-12,Carrot,Maha,139.05,104.29,86.3,Stable
2010-12-13,Carrot,Maha,133.94,100.46,89.59,Stable
2010-12-14,Carrot,Maha,127.96,95.97,93.78,Stable
2010-12-15,Carrot,Maha,135.85,101.89,88.33,Stable
2010-12-16,Carrot,Maha,122.62,91.96,97.86,Stable
2010-12-17,Carrot,Maha,138.23,103.67,86.81,Stable
2010-12-18,Carrot,Maha,147.91,110.93,81.13,High
2010-12-19,Carrot,Maha,126.14,94.6,95.13,Stable
2010-12-20,Carrot,Maha,126.5,94.88,94.86,Stable
2010-12-21,Carrot,Maha,126.88,95.16,94.58,Stable
2010-12-22,Carrot,Maha,130.42,97.82,92.01,Stable
2010-12-23,Carrot,Maha,130.26,97.7,92.12,Stable
2010-12-24,Carrot,Maha,146.72,110.04,81.79,High
2010-12-25,Carrot,Maha,134.47,100.85,89.24,Stable
2010-12-26,Carrot,Maha,121.94,91.46,98.41,Stable
2010-12-27,Carrot,Maha,143.03,107.27,83.9,High
2010-12-28,Carrot,Maha,145.09,108.82,82.71,High
2010-12-29,Carrot,Maha,133.3,99.98,90.02,Stable
2010-12-30,Carrot,Maha,134.74,101.06,89.06,Stable
2010-12-31,Carrot,Maha,132.25,99.19,90.74,Stable
2011-01-01,Carrot,Maha,124.19,93.14,96.63,Stable
2011-01-02,Carrot,Maha,125.96,94.47,95.27,Stable
2011-01-03,Carrot,Maha,146.32,109.74,82.01,High
2011-01-04,Carrot,Maha,126.7,95.02,94.71,Stable
2011-01-05,Carrot,Maha,136.83,102.62,87.7,Stable
2011-01-06,Carrot,Maha,124.43,93.32,96.44,Stable
2011-01-07,Carrot,Maha,138.86,104.15,86.42,Stable
2011-01-08,Carrot,Maha,127.78,95.84,93.91,Stable
2011-01-09,Carrot,Maha,136.71,102.53,87.78,Stable
2011-01-10,Carrot,Maha,143.7,107.78,83.51,High
2011-01-11,Carrot,Maha,140.12,105.09,85.64,Stable
2011-01-12,Carrot,Maha,139.45,104.59,86.05,Stable
2011-01-13,Carrot,Maha,123.04,92.28,97.53,Stable
2011-01-14,Carrot,Maha,146.13,109.6,82.12,High
2011-01-15,Carrot,Maha,124.03,93.02,96.75,Stable
2011-01-16,Carrot,Maha,124.91,93.68,96.07,Stable
2011-01-17,Carrot,Maha,131.75,98.81,91.08,Stable
2011-01-18,Carrot,Maha,133.07,99.8,90.18,Stable
2011-01-19,Carrot,Maha,139.6,104.7,85.96,Stable
2011-01-20,Carrot,Maha,125.3,93.98,95.77,Stable
2011-01-21,Carrot,Maha,123.15,92.36,97.44,Stable
2011-01-22,Carrot,Maha,139.19,104.39,86.21,Stable
2011-01-23,Carrot,Maha,125.13,93.85,95.9,Stable
2011-01-24,Carrot,Maha,130.15,97.61,92.2,Stable
2011-01-25,Carrot,Maha,147.51,110.63,81.35,High
2011-01-26,Carrot,Maha,138.74,104.06,86.49,Stable
2011-01-27,Carrot,Maha,145.3,108.98,82.59,High
2011-01-28,Carrot,Maha,133.62,100.22,89.81,Stable
2011-01-29,Carrot,Maha,123.61,92.71,97.08,Stable
2011-01-30,Carrot,Maha,132.01,99.01,90.9,Stable
2011-01-31,Carrot,Maha,125.26,93.94,95.8,Stable
2011-02-01,Carrot,Maha,135.93,101.95,88.28,Stable
2011-02-02,Carrot,Maha,147.33,110.5,81.45,High
2011-02-03,Carrot,Maha,147.77,110.83,81.21,High
2011-02-04,Carrot,Maha,132.54,99.4,90.54,Stable
2011-02-05,Carrot,Maha,130.22,97.66,92.15,Stable
2011-02-06,Carrot,Maha,144.06,108.04,83.3,High
2011-02-07,Carrot,Maha,124.1,93.07,96.7,Stable
2011-02-08,Carrot,Maha,132.39,99.29,90.64,Stable
2011-02-09,Carrot,Maha,145.49,109.12,82.48,High
2011-02-10,Carrot,Maha,128.53,96.4,93.36,Stable
2011-02-11,Carrot,Maha,127.05,95.29,94.45,Stable
2011-02-12,Carrot,Maha,144.07,108.05,83.29,High
2011-02-13,Carrot,Maha,138.47,103.85,86.66,Stable
2011-02-14,Carrot,Maha,137.52,103.14,87.26,Stable
2011-02-15,Carrot,Maha,130.99,98.24,91.61,Stable
2011-02-16,Carrot,Maha,130.35,97.76,92.06,Stable
2011-02-17,Carrot,Maha,139.11,104.33,86.26,Stable
2011-02-18,Carrot,Maha,136.46,102.34,87.94,Stable
2011-02-19,Carrot,Maha,145.42,109.06,82.52,High
2011-02-20,Carrot,Maha,133.08,99.81,90.17,Stable
2011-02-21,Carrot,Maha,134.82,101.12,89.01,Stable
2011-02-22,Carrot,Maha,130.66,98.0,91.84,Stable
2011-02-23,Carrot,Maha,129.86,97.4,92.41,Stable
2011-02-24,Carrot,Maha,129.67,97.25,92.54,Stable
2011-02-25,Carrot,Maha,133.16,99.87,90.12,Stable
2011-02-26,Carrot,Maha,138.41,103.81,86.7,Stable
2011-02-27,Carrot,Maha,129.91,97.43,92.37,Stable
2011-02-28,Carrot,Maha,127.36,95.52,94.22,Stable
2011-03-01,Carrot,Maha,137.52,103.14,87.26,Stable
2011-03-02,Carrot,Maha,123.18,92.38,97.42,Stable
2011-03-03,Carrot,Maha,127.01,95.26,94.48,Stable
2011-03-04,Carrot,Maha,142.57,106.93,84.17,High
2011-03-05,Carrot,Maha,127.81,95.86,93.89,Stable
2011-03-06,Carrot,Maha,128.27,96.2,93.55,Stable
2011-03-07,Carrot,Maha,131.16,98.37,91.49,Stable
2011-03-08,Carrot,Maha,131.9,98.93,90.98,Stable
2011-03-09,Carrot,Maha,136.72,102.54,87.77,Stable
2011-03-10,Carrot,Maha,143.52,107.64,83.61,High
2011-03-11,Carrot,Maha,139.39,104.54,86.09,Stable
2011-03-12,Carrot,Maha,147.8,110.85,81.19,High
2011-03-13,Carrot,Maha,140.02,105.02,85.7,Stable
